date,orig_nav,pmcc_nav
2023-01-10,60623.6520872588,42372.56694945025
2023-01-11,60623.6520872588,42372.56694945025
2023-01-12,60623.6520872588,42372.56694945025
2023-01-13,60623.6520872588,42372.56694945025
2023-01-17,60623.6520872588,42372.56694945025
2023-01-18,60623.6520872588,42372.56694945025
2023-01-19,60623.6520872588,42372.56694945025
2023-01-20,60623.6520872588,42372.56694945025
2023-01-23,60623.6520872588,42372.56694945025
2023-01-24,55789.89748033015,39150.063878164496
2023-01-25,55789.89748033015,39150.063878164496
2023-01-26,55789.89748033015,39150.063878164496
2023-01-27,56904.77007327819,38676.89981507422
2023-01-30,54688.520613784814,37809.06892600356
2023-01-31,56278.834317168265,38436.69213318786
2023-02-01,58674.37415632113,39366.67627463813
2023-02-02,63915.01801990653,41239.342080203256
2023-02-03,62246.614406723136,40427.75241442129
2023-02-06,61635.424435658424,39992.55496828613
2023-02-07,63205.298249740066,40968.394734104855
2023-02-08,61831.842593612826,40117.10606084844
2023-02-09,61333.677676303385,39719.181396672466
2023-02-10,60792.1314639754,40072.146761587144
2023-02-13,61849.658676184335,40780.962803171315
2023-02-14,62162.636709619,41128.26322876938
2023-02-15,62692.728093555634,41502.56792877802
2023-02-16,61387.115491868986,40580.20545842105
2023-02-17,60779.81971935296,40248.88047767507
2023-02-21,57984.97038162812,39228.66090507962
2023-02-22,57707.88947233594,38960.08880715501
2023-02-23,58452.21636208067,39307.55306731644
2023-02-24,56254.372581165764,39233.29658257262
2023-02-27,56721.83316482995,39504.18956397752
2023-02-28,56403.15023418134,39443.568015203964
2023-03-01,55166.435135168285,39060.8160439332
2023-03-02,54967.51300629142,39108.08405679723
2023-03-03,57341.69496491339,39890.55986261741
2023-03-06,57344.74894001425,39923.81660911326
2023-03-07,55787.269705588915,39444.204973641936
2023-03-08,56174.06324469154,39576.47095633198
2023-03-09,55887.461632773535,39627.563828691746
2023-03-10,54811.866610968136,39110.59003105496
2023-03-13,57594.025577055254,38824.570575134436
2023-03-14,59707.19043597503,39726.42826029116
2023-03-15,61073.473895743475,39974.37090127145
2023-03-16,64516.07722910252,41140.52334341053
2023-03-17,64147.26710744337,40897.155531304765
2023-03-20,64173.49720272077,41050.85484544124
2023-03-21,66494.84039965144,41857.02245061076
2023-03-22,63791.12363510688,41133.17599386612
2023-03-23,66152.75494536242,41711.63897899815
2023-03-24,66681.88230344385,41903.88865963801
2023-03-27,64954.345502389115,41614.4163512784
2023-03-28,63689.56333033742,41371.09759587907
2023-03-29,67523.89944924832,42948.948344353295
2023-03-30,69626.29948063925,43412.888179970316
2023-03-31,73497.05396833137,44221.287764247485
2023-04-03,66933.24316402023,44108.996485427015
2023-04-04,66941.33740156158,44125.73562564474
2023-04-05,65922.27853015726,43647.133455464435
2023-04-06,66139.05645800909,43807.73279004029
2023-04-10,66167.70868405486,43849.93287944575
2023-04-11,65526.78293388058,43545.24632604136
2023-04-12,64614.31220022583,43098.50544210753
2023-04-13,65826.12649625851,43788.88073431776
2023-04-14,65265.105071082755,43594.44457585353
2023-04-17,65132.79731699304,43582.867823995155
2023-04-18,65087.68527931379,43594.951368410126
2023-04-19,64986.49663251213,43607.58179068049
2023-04-20,64339.73467730091,43305.98007182187
2023-04-21,64207.87846585117,43287.11940914051
2023-04-24,63532.860361050014,43148.86063427565
2023-04-25,60851.423123889384,42378.805731546934
2023-04-26,61798.72487445269,43092.3437602658
2023-04-27,66279.73213313453,44184.3001641698
2023-04-28,67478.9068604258,44475.494505475035
2023-05-01,66974.16865204844,43836.043661837895
2023-05-02,66423.77050265377,44313.886142304815
2023-05-03,65201.598435425454,44171.89522414414
2023-05-04,65426.84097289317,44429.69985734752
2023-05-05,68646.24159386425,44524.723214026235
2023-05-08,69043.32414896598,44651.65326067998
2023-05-09,67561.75593598372,44240.57324113103
2023-05-10,69921.28059558634,44898.27639077429
2023-05-11,70719.83088807542,45110.733571516954
2023-05-12,69682.12917672386,44841.13529614867
2023-05-15,71003.0792229462,45194.296741018574
2023-05-16,71288.5305992886,45258.63464690312
2023-05-17,74277.85843705785,46060.80182485096
2023-05-18,76834.16164548579,45476.692812536734
2023-05-19,76460.52839102903,45265.53935068651
2023-05-22,76995.66983209083,45513.55610017613
2023-05-23,75805.22745067293,44568.98158716798
2023-05-24,75610.63776463168,44222.824270562494
2023-05-25,78052.41632932922,45814.70505150854
2023-05-26,81073.09282581571,47572.24958374593
2023-05-30,81498.85003290555,47888.52521754674
2023-05-31,80734.93482220921,47476.459977240054
2023-06-01,82179.33734975374,48411.31354567563
2023-06-02,82832.34848807236,47734.68862321025
2023-06-05,82638.5888076123,47697.35419667582
2023-06-06,82145.87171131828,47532.95034173032
2023-06-07,79472.16493915665,46868.4712565538
2023-06-08,81033.77841466185,47262.938954563666
2023-06-09,81728.26004767045,47441.04352409036
2023-06-12,84939.81691191506,48504.86642843984
2023-06-13,86021.10326873085,48692.70636082652
2023-06-14,86976.27512529097,48846.28767882891
2023-06-15,89272.3221869231,49352.82670132649
2023-06-16,87633.85071194112,48073.42315946432
2023-06-20,87401.23013001242,48023.60300888399
2023-06-21,85020.67751803498,47460.99766544682
2023-06-22,86566.27992104355,48135.193920968275
2023-06-23,85146.77677152965,47736.77997617533
2023-06-26,83522.83784041225,47229.67369161157
2023-06-27,85580.9383740747,47849.45615625872
