date,net_liq,cash,tqqq_shares,open_puts,open_calls,tqqq_price,vix,above_sma200,total_return_pct
2022-11-14,44996.55,44996.55,0,0,0,10.56,23.7,0,79.99
2022-11-15,44996.55,44996.55,0,0,0,10.98,24.5,0,79.99
2022-11-16,44996.55,44996.55,0,0,0,10.54,24.1,0,79.99
2022-11-17,44996.55,44996.55,0,0,0,10.46,23.9,0,79.99
2022-11-18,44996.55,44996.55,0,0,0,10.45,23.1,0,79.99
2022-11-21,44996.55,44996.55,0,0,0,10.13,22.4,0,79.99
2022-11-22,44996.55,44996.55,0,0,0,10.56,21.3,0,79.99
2022-11-23,44996.55,44996.55,0,0,0,10.87,20.4,0,79.99
2022-11-25,44996.55,44996.55,0,0,0,10.65,20.5,0,79.99
2022-11-28,44996.55,44996.55,0,0,0,10.18,22.2,0,79.99
2022-11-29,44996.55,44996.55,0,0,0,9.94,21.9,0,79.99
2022-11-30,44996.55,44996.55,0,0,0,11.27,20.6,0,79.99
2022-12-01,44996.55,44996.55,0,0,0,11.33,19.8,0,79.99
2022-12-02,44996.55,44996.55,0,0,0,11.2,19.1,0,79.99
2022-12-05,44996.55,44996.55,0,0,0,10.63,20.8,0,79.99
2022-12-06,44996.55,44996.55,0,0,0,9.96,22.2,0,79.99
2022-12-07,44996.55,44996.55,0,0,0,9.84,22.7,0,79.99
2022-12-08,44996.55,44996.55,0,0,0,10.19,22.3,0,79.99
2022-12-09,44996.55,44996.55,0,0,0,9.99,22.8,0,79.99
2022-12-12,44996.55,44996.55,0,0,0,10.36,25.0,0,79.99
2022-12-13,44996.55,44996.55,0,0,0,10.68,22.5,0,79.99
2022-12-14,44996.55,44996.55,0,0,0,10.43,21.1,0,79.99
2022-12-15,44996.55,44996.55,0,0,0,9.39,22.8,0,79.99
2022-12-16,44996.55,44996.55,0,0,0,9.12,22.6,0,79.99
2022-12-19,44996.55,44996.55,0,0,0,8.74,22.4,0,79.99
2022-12-20,44996.55,44996.55,0,0,0,8.7,21.5,0,79.99
2022-12-21,44996.55,44996.55,0,0,0,9.08,20.1,0,79.99
2022-12-22,44996.55,44996.55,0,0,0,8.43,22.0,0,79.99
2022-12-23,44996.55,44996.55,0,0,0,8.46,20.9,0,79.99
2022-12-27,44996.55,44996.55,0,0,0,8.1,21.6,0,79.99
2022-12-28,44996.55,44996.55,0,0,0,7.77,22.1,0,79.99
2022-12-29,44996.55,44996.55,0,0,0,8.32,21.4,0,79.99
2022-12-30,44996.55,44996.55,0,0,0,8.32,21.7,0,79.99
2023-01-03,44996.55,44996.55,0,0,0,8.13,22.9,0,79.99
2023-01-04,44996.55,44996.55,0,0,0,8.26,22.0,0,79.99
2023-01-05,44996.55,44996.55,0,0,0,7.87,22.5,0,79.99
2023-01-06,44996.55,44996.55,0,0,0,8.48,21.1,0,79.99
2023-01-09,44996.55,44996.55,0,0,0,8.66,22.0,0,79.99
2023-01-10,44996.55,44996.55,0,0,0,8.89,20.6,0,79.99
2023-01-11,44996.55,44996.55,0,0,0,9.33,21.1,0,79.99
2023-01-12,44996.55,44996.55,0,0,0,9.48,18.8,0,79.99
2023-01-13,44996.55,44996.55,0,0,0,9.66,18.4,0,79.99
2023-01-17,44996.55,44996.55,0,0,0,9.72,19.4,0,79.99
2023-01-18,44996.55,44996.55,0,0,0,9.36,20.3,0,79.99
2023-01-19,44996.55,44996.55,0,0,0,9.06,20.5,0,79.99
2023-01-20,44996.55,44996.55,0,0,0,9.8,19.9,0,79.99
2023-01-23,44996.55,44996.55,0,0,0,10.45,19.8,0,79.99
2023-01-24,44996.55,44996.55,0,0,0,10.39,19.2,0,79.99
2023-01-25,44996.55,44996.55,0,0,0,10.31,19.1,0,79.99
2023-01-26,44996.55,44996.55,0,0,0,10.91,18.7,0,79.99
2023-01-27,44996.55,44996.55,0,0,0,11.22,18.5,0,79.99
2023-01-30,44996.55,44996.55,0,0,0,10.54,19.9,0,79.99
2023-01-31,44996.55,44996.55,0,0,0,11.02,19.4,0,79.99
2023-02-01,44996.55,44996.55,0,0,0,11.73,17.9,0,79.99
2023-02-02,44996.55,44996.55,0,0,0,12.94,18.7,1,79.99
2023-02-03,44996.55,44996.55,0,0,0,12.27,18.3,0,79.99
2023-02-06,44996.55,44996.55,0,0,0,11.96,19.4,0,79.99
2023-02-07,44996.55,44996.55,0,0,0,12.7,18.7,1,79.99
2023-02-08,44996.55,44996.55,0,0,0,12.02,19.6,0,79.99
2023-02-09,44996.55,44996.55,0,0,0,11.69,20.7,0,79.99
2023-02-10,44996.55,44996.55,0,0,0,11.45,20.5,0,79.99
2023-02-13,44996.55,44996.55,0,0,0,12.0,20.3,0,79.99
2023-02-14,44996.55,44996.55,0,0,0,12.26,18.9,1,79.99
2023-02-15,44996.55,44996.55,0,0,0,12.53,18.2,1,79.99
2023-02-16,44996.55,44996.55,0,0,0,11.81,20.2,0,79.99
2023-02-17,44996.55,44996.55,0,0,0,11.56,20.0,0,79.99
2023-02-21,44996.55,44996.55,0,0,0,10.75,22.9,0,79.99
2023-02-22,44996.55,44996.55,0,0,0,10.76,22.3,0,79.99
2023-02-23,44996.55,44996.55,0,0,0,11.03,21.1,0,79.99
2023-02-24,44996.55,44996.55,0,0,0,10.47,21.7,0,79.99
2023-02-27,44996.55,44996.55,0,0,0,10.69,21.0,0,79.99
2023-02-28,44996.55,44996.55,0,0,0,10.64,20.7,0,79.99
2023-03-01,44996.55,44996.55,0,0,0,10.38,20.6,0,79.99
2023-03-02,44996.55,44996.55,0,0,0,10.63,19.6,0,79.99
2023-03-03,44996.55,44996.55,0,0,0,11.28,18.5,0,79.99
2023-03-06,44996.55,44996.55,0,0,0,11.33,18.6,0,79.99
2023-03-07,44996.55,44996.55,0,0,0,10.91,19.6,0,79.99
2023-03-08,44996.55,44996.55,0,0,0,11.05,19.1,0,79.99
2023-03-09,44996.55,44996.55,0,0,0,10.47,22.6,0,79.99
2023-03-10,44996.55,44996.55,0,0,0,10.04,24.8,0,79.99
2023-03-13,44996.55,44996.55,0,0,0,10.26,26.5,0,79.99
2023-03-14,44996.55,44996.55,0,0,0,10.95,23.7,0,79.99
2023-03-15,44996.55,44996.55,0,0,0,11.11,26.1,0,79.99
2023-03-16,44996.55,44996.55,0,0,0,11.99,23.0,1,79.99
2023-03-17,44996.55,44996.55,0,0,0,11.81,25.5,1,79.99
2023-03-20,9110.19,9504.94,0,1,0,11.94,24.1,1,-63.56
2023-03-21,45513.43,45513.43,0,0,0,12.44,21.4,1,82.05
2023-03-22,45513.43,45513.43,0,0,0,11.94,22.3,1,82.05
2023-03-23,45513.43,45513.43,0,0,0,12.36,22.6,1,82.05
2023-03-24,45513.43,45513.43,0,0,0,12.49,21.7,1,82.05
2023-03-27,9864.02,10177.07,0,1,0,12.23,20.6,1,-60.54
2023-03-28,9881.95,10177.07,0,1,0,12.03,20.0,1,-60.47
2023-03-29,46020.09,46020.09,0,0,0,12.69,19.1,1,84.08
2023-03-30,46020.09,46020.09,0,0,0,13.03,19.0,1,84.08
2023-03-31,46020.09,46020.09,0,0,0,13.67,18.7,1,84.08
2023-04-03,10177.39,11225.17,0,1,0,13.57,18.5,1,-59.29
2023-04-04,10170.95,11225.17,0,1,0,13.44,19.0,1,-59.32
2023-04-05,9903.73,11225.17,0,1,0,13.01,19.1,1,-60.39
2023-04-06,10244.99,11225.17,0,1,0,13.27,18.4,1,-59.02
2023-04-10,9668.34,9886.32,0,1,0,13.24,19.0,1,-61.33
2023-04-11,9661.03,9886.32,0,1,0,12.98,19.1,1,-61.36
2023-04-12,9614.06,9886.32,0,1,0,12.64,19.1,1,-61.54
2023-04-13,47407.87,47407.87,0,0,0,13.36,17.8,1,89.63
2023-04-14,47407.87,47407.87,0,0,0,13.29,17.1,1,89.63
2023-04-17,9857.29,10013.56,0,1,0,13.3,17.0,1,-60.57
2023-04-18,47482.63,47482.63,0,0,0,13.31,16.8,1,89.93
2023-04-19,47482.63,47482.63,0,0,0,13.28,16.5,1,89.93
2023-04-20,47482.63,47482.63,0,0,0,12.97,17.2,1,89.93
2023-04-21,47482.63,47482.63,0,0,0,13.0,16.8,1,89.93
2023-04-24,9833.35,9938.51,0,1,0,12.92,16.9,1,-60.67
2023-04-25,47177.37,47177.37,0,0,0,12.19,18.8,1,88.71
2023-04-26,47177.37,47177.37,0,0,0,12.39,18.8,1,88.71
2023-04-27,47177.37,47177.37,0,0,0,13.39,17.0,1,88.71
2023-04-28,47177.37,47177.37,0,0,0,13.66,15.8,1,88.71
2023-05-01,9953.48,10107.89,0,1,0,13.62,16.1,1,-60.19
2023-05-02,9904.17,10107.89,0,1,0,13.26,17.8,1,-60.38
2023-05-03,9893.77,10107.89,0,1,0,13.0,18.3,1,-60.42
2023-05-04,9975.1,10107.89,0,1,0,12.86,20.1,1,-60.1
2023-05-05,47301.78,47301.78,0,0,0,13.64,17.2,1,89.21
2023-05-08,9721.39,9931.65,0,1,0,13.75,17.0,1,-61.11
2023-05-09,9713.75,9931.65,0,1,0,13.49,17.7,1,-61.15
2023-05-10,47596.8,47596.8,0,0,0,13.92,16.9,1,90.39
2023-05-11,47596.8,47596.8,0,0,0,14.04,16.9,1,90.39
2023-05-12,47596.8,47596.8,0,0,0,13.89,17.0,1,90.39
2023-05-15,10337.37,10502.26,0,1,0,14.11,17.1,1,-58.65
2023-05-16,47698.68,47698.68,0,0,0,14.16,18.0,1,90.79
2023-05-17,47698.68,47698.68,0,0,0,14.67,16.9,1,90.79
2023-05-18,47698.68,47698.68,0,0,0,15.46,16.0,1,90.79
2023-05-19,47698.68,47698.68,0,0,0,15.35,16.8,1,90.79
2023-05-22,9562.79,9767.29,0,1,0,15.51,17.2,1,-61.75
2023-05-23,9415.46,9767.29,0,1,0,14.91,18.5,1,-62.34
2023-05-24,9424.18,9767.29,0,1,0,14.67,20.0,1,-62.3
2023-05-25,48049.24,48049.24,0,0,0,15.73,19.1,1,92.2
2023-05-26,48049.24,48049.24,0,0,0,16.92,18.0,1,92.2
