date,nav,cash,leaps_value,open_positions,qqq_price,vix,regime,hmm_p_bull,total_return_pct
2022-11-28,22930.52,21206.84,1723.68,3,277.04,22.2,BEAR,0.0,-8.28
2022-11-29,22803.79,21206.84,1596.95,3,274.94,21.9,BEAR,0.0,-8.78
2022-11-30,23260.75,16687.07,8998.89,3,287.48,20.6,BULL_MODERATE,0.0,-6.96
2022-12-01,23104.46,16687.07,8775.51,3,287.83,19.8,BULL_MODERATE,0.0,-7.58
2022-12-02,22911.1,16687.07,8294.97,3,286.68,19.1,BULL_MODERATE,0.0,-8.36
2022-12-05,23112.78,15374.45,7947.06,3,281.87,20.8,BEAR,0.0,-7.55
2022-12-06,22696.11,15240.47,7455.65,3,276.03,22.2,BEAR,0.0,-9.22
2022-12-07,22656.53,15240.47,7416.06,3,274.9,22.7,BEAR,0.0,-9.37
2022-12-08,23026.63,15240.47,7786.16,3,278.16,22.3,BEAR,0.0,-7.89
2022-12-09,22907.41,15240.47,7666.94,3,276.38,22.8,BEAR,0.0,-8.37
2022-12-12,24145.43,15240.47,8904.96,3,279.85,25.0,BEAR,0.0,-3.42
2022-12-13,23858.26,15240.47,8617.79,3,282.86,22.5,BEAR,0.0,-4.57
2022-12-14,23006.94,15240.47,7766.47,3,280.76,21.1,BEAR,0.0,-7.97
2022-12-15,22031.05,15240.47,6790.58,3,271.34,22.8,BEAR,0.0,-11.88
2022-12-16,21547.92,15240.47,6307.46,3,268.75,22.6,BEAR,0.0,-13.81
2022-12-19,20901.88,15240.47,5661.42,3,264.97,22.4,BEAR,0.0,-16.39
2022-12-20,20584.28,15240.47,5343.81,3,264.77,21.5,BEAR,0.0,-17.66
2022-12-21,20656.0,15240.47,5415.53,3,268.61,20.1,BEAR,0.0,-17.38
2022-12-22,20335.03,15240.47,5094.56,3,262.04,22.0,BEAR,0.0,-18.66
2022-12-23,20059.85,15240.47,4819.38,3,262.62,20.9,BEAR,0.0,-19.76
2022-12-27,19767.71,15240.47,4527.25,3,258.91,21.6,BEAR,0.0,-20.93
2022-12-28,19516.19,15240.47,4275.72,3,255.49,22.1,BEAR,0.0,-21.94
2022-12-29,20054.32,15240.47,4813.85,3,261.72,21.4,BEAR,0.0,-19.78
2022-12-30,20079.92,15240.47,4839.45,3,261.56,21.7,BEAR,0.0,-19.68
2023-01-03,20157.76,15240.47,4917.29,3,259.8,22.9,BEAR,0.0,-19.37
2023-01-04,20072.39,15240.47,4831.92,3,261.03,22.0,BEAR,0.0,-19.71
2023-01-05,19702.17,15240.47,4461.7,3,256.95,22.5,BEAR,0.0,-21.19
2023-01-06,20195.58,15240.47,4955.11,3,264.04,21.1,BEAR,0.0,-19.22
2023-01-09,20629.71,15240.47,5389.24,3,265.75,22.0,BEAR,0.0,-17.48
2023-01-10,20527.93,15240.47,5287.46,3,268.0,20.6,BEAR,0.0,-17.89
2023-01-11,21340.06,15240.47,6099.59,3,272.63,21.1,BEAR,0.0,-14.64
2023-01-12,20827.36,15240.47,5586.89,3,274.11,18.8,BEAR,0.0,-16.69
2023-01-13,20949.29,16059.68,5716.32,3,275.99,18.4,BULL_MODERATE,0.0,-16.2
2023-01-17,21265.45,16059.68,6055.72,3,276.55,19.4,BULL_MODERATE,0.0,-14.94
2023-01-18,21221.17,16059.68,5799.45,3,272.96,20.3,BEAR,0.0,-15.12
2023-01-19,21031.17,16015.88,5443.47,3,270.28,20.5,BEAR,0.0,-15.88
2023-01-20,21553.78,16310.02,6348.97,3,277.67,19.9,BULL_MODERATE,0.0,-13.78
2023-01-23,21942.27,16476.28,7313.58,3,283.84,19.8,BULL_MODERATE,0.0,-12.23
2023-01-24,21811.02,16469.28,7021.61,3,283.26,19.2,BULL_MODERATE,0.0,-12.76
2023-01-25,21754.59,16462.28,6852.02,3,282.63,19.1,BULL_MODERATE,0.0,-12.98
2023-01-26,21937.9,16462.28,7702.63,3,288.14,18.7,BULL_STRONG,0.0,-12.25
2023-01-27,21988.86,16537.5,8156.33,3,291.01,18.5,BULL_STRONG,0.0,-12.04
2023-01-30,22141.68,16537.5,7458.45,3,285.13,19.9,BULL_MODERATE,0.0,-11.43
2023-01-31,22207.92,16537.5,8060.67,3,289.4,19.4,BULL_STRONG,0.0,-11.17
2023-02-01,21985.55,16616.66,8767.44,3,295.59,17.9,BULL_STRONG,0.0,-12.06
2023-02-02,21993.57,16616.66,11228.79,3,306.2,18.7,BULL_STRONG,0.0,-12.03
2023-02-03,22059.51,16616.66,9930.45,3,300.76,18.3,BULL_STRONG,0.0,-11.76
2023-02-06,22369.28,16702.62,9666.91,3,298.21,19.4,BULL_STRONG,0.0,-10.52
2023-02-07,22108.52,16702.62,10750.38,3,304.39,18.7,BULL_STRONG,0.0,-11.57
2023-02-08,22446.94,16699.12,9863.8,3,298.98,19.6,BULL_STRONG,0.0,-10.21
2023-02-09,22722.67,16695.62,9632.66,3,296.34,20.7,BULL_STRONG,0.0,-9.11
2023-02-10,22718.88,16692.12,9186.68,3,294.39,20.5,BULL_STRONG,0.0,-9.12
2023-02-13,22694.03,16782.47,10021.28,3,299.11,20.3,BULL_STRONG,0.0,-9.22
2023-02-14,22359.83,16782.47,10068.96,3,301.32,18.9,BULL_STRONG,0.0,-10.56
2023-02-15,22148.55,16782.47,10356.11,3,303.63,18.2,BULL_STRONG,0.0,-11.41
2023-02-16,22743.11,16778.97,9684.28,3,297.93,20.2,BULL_STRONG,0.0,-9.03
2023-02-17,22770.94,16775.47,9206.98,3,295.83,20.0,BULL_STRONG,0.0,-8.92
2023-02-21,23515.87,16775.47,8625.23,3,288.82,22.9,BULL_STRONG,0.0,-5.94
2023-02-22,23435.74,16775.47,8478.54,3,289.04,22.3,BULL_STRONG,0.0,-6.26
2023-02-23,23229.99,16863.29,8593.41,3,291.56,21.1,BULL_STRONG,0.0,-7.08
2023-02-24,23342.75,16863.29,7838.73,3,286.68,21.7,BULL_STRONG,0.0,-6.63
2023-02-27,23359.41,16863.29,7931.92,3,288.73,21.0,BULL_STRONG,0.0,-6.56
2023-02-28,23370.97,16863.29,7786.97,3,288.36,20.7,BULL_STRONG,0.0,-6.52
2023-03-01,23381.42,18217.29,7324.55,3,286.04,20.6,BULL_STRONG,0.01,-6.47
2023-03-02,23300.23,18217.29,7447.25,3,288.41,19.6,BULL_STRONG,0.11,-6.8
2023-03-03,23229.8,18299.82,8247.74,3,294.37,18.5,BULL_STRONG,0.58,-7.08
2023-03-06,23300.81,18379.46,8295.06,3,294.71,18.6,BULL_STRONG,0.64,-6.8
2023-03-07,23480.59,18375.96,7885.75,3,291.09,19.6,BULL_STRONG,0.64,-6.08
2023-03-08,23440.68,18372.46,8022.23,3,292.55,19.1,BULL_STRONG,0.61,-6.24
2023-03-09,23968.68,18372.46,8028.99,3,287.48,22.6,BULL_STRONG,0.23,-4.13
2023-03-10,24230.51,18588.49,7908.56,3,283.44,24.8,BULL_MODERATE,0.02,-3.08
2023-03-13,24641.04,18588.49,8647.7,3,285.54,26.5,BULL_MODERATE,0.0,-1.44
2023-03-14,24331.49,18686.23,9033.39,3,292.1,23.7,BULL_STRONG,0.0,-2.67
2023-03-15,24749.3,18682.73,9931.24,3,293.64,26.1,BULL_MODERATE,0.0,-1.0
2023-03-16,24183.55,18682.73,10558.0,3,301.38,23.0,BULL_STRONG,0.0,-3.27
2023-03-17,24612.28,18682.73,10857.25,3,299.95,25.5,BULL_MODERATE,0.0,-1.55
2023-03-20,24462.01,18682.73,10687.5,3,301.02,24.1,BULL_STRONG,0.0,-2.15
2023-03-21,23906.07,18682.73,10883.67,3,305.32,21.4,BULL_STRONG,0.0,-4.38
2023-03-22,24177.73,18682.73,10204.48,3,301.16,22.3,BULL_STRONG,0.0,-3.29
2023-03-23,24158.02,18682.73,10999.39,3,304.74,22.6,BULL_STRONG,0.0,-3.37
2023-03-24,23972.53,18682.73,10996.35,3,305.86,21.7,BULL_STRONG,0.0,-4.11
2023-03-27,23886.44,18682.73,10225.65,3,303.76,20.6,BULL_STRONG,0.18,-4.45
2023-03-28,23842.29,18682.73,9719.71,3,302.15,20.0,BULL_STRONG,0.75,-4.63
2023-03-29,23486.59,18682.73,10695.66,3,307.66,19.1,BULL_STRONG,0.92,-6.05
2023-03-30,23357.89,18682.73,11329.05,3,310.57,19.0,BULL_STRONG,0.99,-6.57
2023-03-31,23038.79,18682.73,12434.24,3,315.73,18.7,BULL_STRONG,1.0,-7.84
2023-04-03,23041.61,18682.73,12157.62,3,314.97,18.5,BULL_STRONG,1.0,-7.83
2023-04-04,23230.09,18682.73,12032.97,3,313.9,19.0,BULL_STRONG,1.0,-7.08
2023-04-05,23393.8,18682.73,11294.97,3,310.81,19.1,BULL_STRONG,1.0,-6.42
2023-04-06,23158.24,18682.73,11624.1,3,312.9,18.4,BULL_STRONG,1.0,-7.37
2023-04-10,23322.34,18682.73,11667.46,3,312.72,19.0,BULL_STRONG,1.0,-6.71
2023-04-11,23471.25,18682.73,11218.04,3,310.72,19.1,BULL_STRONG,1.0,-6.12
2023-04-12,23617.71,18682.73,10558.79,3,307.97,19.1,BULL_STRONG,1.0,-5.53
2023-04-13,23022.73,15429.43,11686.02,3,314.0,17.8,BULL_STRONG,1.0,-7.91
2023-04-14,22961.69,15429.43,11399.13,3,313.41,17.1,BULL_STRONG,1.0,-8.15
2023-04-17,22992.22,15429.43,11393.64,3,313.68,17.0,BULL_STRONG,1.0,-8.03
2023-04-18,23020.76,15429.43,11393.85,3,313.7,16.8,BULL_STRONG,1.0,-7.92
2023-04-19,22977.23,15429.43,11260.11,3,313.55,16.5,BULL_STRONG,1.0,-8.09
2023-04-20,23037.75,15492.81,10774.24,3,311.16,17.2,BULL_STRONG,1.0,-7.85
2023-04-21,23035.28,15492.81,10758.98,3,311.48,16.8,BULL_STRONG,1.0,-7.86
2023-04-24,23057.99,15492.81,10544.37,3,310.83,16.9,BULL_STRONG,1.0,-7.77
2023-04-25,22978.61,16963.41,9575.43,3,304.97,18.8,BULL_STRONG,1.0,-8.09
2023-04-26,23052.43,16963.41,9995.84,3,306.82,18.8,BULL_STRONG,1.0,-7.79
2023-04-27,22939.78,16963.41,11617.55,3,315.16,17.0,BULL_STRONG,1.0,-8.24
2023-04-28,22789.68,16963.41,11924.24,3,317.34,15.8,BULL_STRONG,1.0,-8.84
2023-05-01,24358.57,17242.7,12223.79,3,316.97,16.1,BULL_STRONG,1.0,-2.57
2023-05-02,24695.04,17239.2,12057.1,3,314.21,17.8,BULL_STRONG,1.0,-1.22
2023-05-03,24793.68,17235.7,11739.34,3,312.15,18.3,BULL_STRONG,1.0,-0.83
2023-05-04,25088.58,17232.2,11934.18,3,311.05,20.1,BULL_STRONG,1.0,0.35
2023-05-05,24661.32,17228.7,12686.63,3,317.66,17.2,BULL_STRONG,1.0,-1.35
2023-05-08,24658.29,17312.5,12776.58,3,318.45,17.0,BULL_STRONG,1.0,-1.37
2023-05-09,24808.0,17309.0,12473.96,3,316.43,17.7,BULL_STRONG,1.0,-0.77
2023-05-10,24656.16,17309.0,13071.25,3,319.88,16.9,BULL_STRONG,1.0,-1.38
2023-05-11,24637.56,17309.0,13284.77,3,320.92,16.9,BULL_STRONG,1.0,-1.45
2023-05-12,24677.57,17309.0,13017.11,3,319.77,17.0,BULL_STRONG,1.0,-1.29
2023-05-15,24694.64,17309.0,13398.19,3,321.5,17.1,BULL_STRONG,1.0,-1.22
2023-05-16,24878.59,17309.0,13693.52,3,321.86,18.0,BULL_STRONG,1.0,-0.49
2023-05-17,24635.36,22062.86,3730.23,1,325.76,16.9,BULL_STRONG,1.0,-1.46
2023-05-18,24554.25,22062.86,4072.45,1,331.81,16.0,BULL_STRONG,1.0,-1.78
2023-05-19,24625.87,22062.86,4091.81,1,331.06,16.8,BULL_STRONG,1.0,-1.5
2023-05-22,24673.54,22062.86,4204.86,1,332.17,17.2,BULL_STRONG,1.0,-1.31
2023-05-23,24838.18,22062.86,4063.36,1,327.96,18.5,BULL_STRONG,1.0,-0.65
2023-05-24,24993.8,22062.86,4128.88,1,326.28,20.0,BULL_STRONG,1.0,-0.02
2023-05-25,24865.42,22062.86,4575.1,1,334.22,19.1,BULL_STRONG,1.0,-0.54
2023-05-26,24618.19,24618.19,0.0,0,342.76,18.0,BULL_STRONG,1.0,-1.53
2023-05-30,24618.19,24618.19,0.0,0,344.31,17.5,BULL_STRONG,1.0,-1.53
2023-05-31,24618.19,24618.19,0.0,0,342.36,17.9,BULL_STRONG,1.0,-1.53
2023-06-01,24618.19,24618.19,0.0,0,346.31,15.6,BULL_STRONG,1.0,-1.53
2023-06-02,24618.19,24618.19,0.0,0,348.91,14.6,BULL_STRONG,1.0,-1.53
2023-06-05,24618.19,24618.19,0.0,0,349.15,14.7,BULL_STRONG,1.0,-1.53
2023-06-06,24618.19,24618.19,0.0,0,349.1,14.0,BULL_STRONG,1.0,-1.53
2023-06-07,24618.19,24618.19,0.0,0,343.17,13.9,BULL_STRONG,1.0,-1.53
2023-06-08,24618.19,24618.19,0.0,0,347.43,13.6,BULL_STRONG,1.0,-1.53
2023-06-09,24618.19,24618.19,0.0,0,348.76,13.8,BULL_STRONG,1.0,-1.53
2023-06-12,24618.19,24618.19,0.0,0,354.65,15.0,BULL_STRONG,1.0,-1.53
2023-06-13,24618.19,24618.19,0.0,0,357.38,14.6,BULL_STRONG,1.0,-1.53
2023-06-14,24618.19,24618.19,0.0,0,359.98,13.9,BULL_STRONG,1.0,-1.53
2023-06-15,24618.19,24618.19,0.0,0,364.27,14.5,BULL_STRONG,1.0,-1.53
2023-06-16,24618.19,24618.19,0.0,0,361.97,13.5,BULL_STRONG,1.0,-1.53
2023-06-20,24618.19,24618.19,0.0,0,361.46,13.9,BULL_STRONG,1.0,-1.53
2023-06-21,24618.19,24618.19,0.0,0,356.53,13.2,BULL_STRONG,1.0,-1.53
2023-06-22,24618.19,24618.19,0.0,0,360.74,12.9,BULL_STRONG,1.0,-1.53
2023-06-23,24615.69,21655.99,2959.7,0,357.16,13.4,BULL_STRONG,1.0,-1.54
2023-06-26,24416.74,22029.31,2763.25,1,352.37,14.2,BULL_STRONG,1.0,-2.33
2023-06-27,24519.33,22025.81,3072.35,1,358.43,13.7,BULL_STRONG,1.0,-1.92
2023-06-28,24504.07,22022.31,3066.32,1,359.13,13.4,BULL_STRONG,1.0,-1.98
2023-06-29,24503.18,22018.81,3030.0,1,358.41,13.5,BULL_STRONG,1.0,-1.99
2023-06-30,24597.5,22018.81,3400.34,1,363.94,13.6,BULL_STRONG,1.0,-1.61
2023-07-03,24622.7,22018.81,3438.33,1,364.79,13.6,BULL_STRONG,1.0,-1.51
2023-07-05,24703.38,22018.81,3520.51,1,364.78,14.2,BULL_STRONG,1.0,-1.19
