Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
AVGO,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-05-20,2019-05-29,9,1037.74,939.95,-97.79,-7.3
AVGO,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-05-28,2019-06-06,9,491.02,539.21,48.19,5.2
QQQ,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-05-29,2019-06-07,9,3572.03,3690.04,118.0,3.3
ANET,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-06-07,2019-06-17,10,793.59,691.87,-101.72,-10.1
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-06-10,2019-06-19,9,909.23,934.25,25.03,2.6
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-06-10,2019-06-19,9,1531.19,1467.81,-63.38,-4.1
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-06-11,2019-06-20,9,1497.58,1477.02,-20.56,-1.4
AMD,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-06-17,2019-06-26,9,847.16,775.25,-71.91,-8.5
ZS,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-06-21,2019-06-26,5,1985.54,1882.42,-103.12,-5.2
AMD,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-06-20,2019-07-01,11,872.4,810.29,-62.11,-7.1
SHOP,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-06-24,2019-07-03,9,808.4,809.0,0.6,0.1
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-06-26,2019-07-05,9,1444.77,908.36,-536.42,-37.1
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-06-26,2019-07-05,9,524.51,519.79,-4.71,-0.5
SOXL,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-07-03,2019-07-12,9,329.94,326.9,-3.05,-0.6
SOXL,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-07-05,2019-07-15,10,324.44,315.5,-8.94,-1.9
MU,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-07-03,2019-07-18,15,336.61,297.3,39.31,4.6
AVGO,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-07-03,2019-07-18,15,248.2,153.61,94.59,12.7
SHOP,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-07-11,2019-07-22,11,843.41,848.24,4.83,0.6
SHOP,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-07-12,2019-07-22,10,831.38,849.29,17.91,2.2
TQQQ,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-07-17,2019-07-22,5,541.59,545.14,3.56,0.6
AMD,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-07-18,2019-07-23,5,745.84,741.49,-4.35,-0.6
GOOGL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-07-19,2019-07-24,5,1163.77,1164.46,0.69,0.1
MRVL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 7 days >= 5,2019-07-22,2019-07-29,7,529.32,557.77,28.45,4.0
CIEN,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 7 days >= 5,2019-07-22,2019-07-29,7,910.34,966.19,55.85,6.1
SHOP,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-07-24,2019-07-29,5,724.86,719.68,-5.18,-0.7
GOOGL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-07-25,2019-07-30,5,1161.44,1387.71,226.26,19.5
AMZN,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 7 days >= 5,2019-07-29,2019-08-05,7,1979.34,1839.9,-139.44,-7.0
TQQQ,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 6 days >= 5,2019-07-30,2019-08-05,6,903.53,867.63,-35.9,-4.0
AMAT,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-07-29,2019-08-07,9,1099.02,1020.03,-78.99,-7.2
MSFT,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-08-05,2019-08-14,9,2636.23,2723.88,87.65,3.3
ANET,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-08-08,2019-08-19,11,391.44,364.25,-27.19,-3.8
ANET,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-08-09,2019-08-19,10,381.8,364.73,-17.06,-2.6
AMD,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-08-14,2019-08-23,9,982.39,971.88,-10.51,-1.1
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-08-14,2019-08-23,9,624.5,630.85,6.35,0.8
TQQQ,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-08-15,2019-08-26,11,632.66,673.99,41.34,5.7
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-08-19,2019-08-28,9,602.58,626.43,23.85,2.9
MRVL,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-08-21,2019-08-30,9,581.67,549.3,-32.36,-4.2
SOXL,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-08-23,2019-09-03,11,692.44,658.13,-34.31,-3.4
TQQQ,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-08-23,2019-09-03,11,662.13,635.17,-26.96,-3.9
